Employee_ID,Employee_Name,Department,Position,Location,Hire_Date,Salary,Is_Active
EMP00001,Employee_1,Marketing,Junior,Timisoara,2024-01-16 00:00:00,32313,1
EMP00002,Employee_2,Sales,Junior,Brasov,2023-02-27 00:00:00,23660,1
EMP00003,Employee_3,Sales,Intern,Bucharest,2023-09-16 00:00:00,44597,1
EMP00004,Employee_4,Marketing,Intern,Bucharest,2023-12-08 00:00:00,25204,1
EMP00005,Employee_5,IT,Intern,Timisoara,2023-05-10 00:00:00,19887,1
EMP00006,Employee_6,Customer Service,Mid-Level,Iasi,2024-12-27 00:00:00,25902,1
EMP00007,Employee_7,Operations,Junior,Cluj-Napoca,2023-06-21 00:00:00,46469,1
EMP00008,Employee_8,Finance,Mid-Level,Iasi,2024-09-05 00:00:00,35871,1
EMP00009,Employee_9,Finance,Manager,Brasov,2023-07-28 00:00:00,7967,1
EMP00010,Employee_10,Operations,Intern,Cluj-Napoca,2023-12-20 00:00:00,29522,1
EMP00011,Employee_11,Logistics,Mid-Level,Timisoara,2024-04-15 00:00:00,30269,1
EMP00012,Employee_12,Logistics,Mid-Level,Timisoara,2023-04-26 00:00:00,26659,1
EMP00013,Employee_13,Sales,Manager,Cluj-Napoca,2023-09-21 00:00:00,19822,1
EMP00014,Employee_14,Sales,Senior,Bucharest,2024-10-23 00:00:00,48887,1
EMP00015,Employee_15,IT,Junior,Cluj-Napoca,2024-03-17 00:00:00,50112,1
EMP00016,Employee_16,HR,Senior,Brasov,2024-07-01 00:00:00,8941,1
EMP00017,Employee_17,Marketing,Intern,Bucharest,2024-03-28 00:00:00,18052,1
EMP00018,Employee_18,Sales,Mid-Level,Timisoara,2024-04-21 00:00:00,25025,0
EMP00019,Employee_19,Finance,Manager,Cluj-Napoca,2023-10-14 00:00:00,43228,1
EMP00020,Employee_20,IT,Manager,Iasi,2023-10-30 00:00:00,27376,1
EMP00021,Employee_21,Marketing,Junior,Iasi,2023-11-07 00:00:00,19115,1
EMP00022,Employee_22,IT,Senior,Brasov,2023-07-27 00:00:00,38360,1
EMP00023,Employee_23,Marketing,Junior,Iasi,2024-09-09 00:00:00,24205,0
EMP00024,Employee_24,Marketing,Mid-Level,Cluj-Napoca,2024-03-21 00:00:00,25369,1
EMP00025,Employee_25,Operations,Junior,Cluj-Napoca,2024-10-31 00:00:00,26540,1
EMP00026,Employee_26,Sales,Manager,Iasi,2024-09-24 00:00:00,35852,1
EMP00027,Employee_27,Customer Service,Manager,Cluj-Napoca,2023-02-24 00:00:00,23057,1
EMP00028,Employee_28,IT,Intern,Brasov,2023-01-12 00:00:00,37929,0
EMP00029,Employee_29,Customer Service,Intern,Bucharest,2024-10-18 00:00:00,25938,0
EMP00030,Employee_30,IT,Mid-Level,Brasov,2024-02-04 00:00:00,15780,1
EMP00031,Employee_31,Operations,Senior,Brasov,2024-10-09 00:00:00,26413,1
EMP00032,Employee_32,Finance,Junior,Cluj-Napoca,2024-05-29 00:00:00,16194,1
EMP00033,Employee_33,Customer Service,Mid-Level,Bucharest,2024-10-17 00:00:00,27460,1
EMP00034,Employee_34,Finance,Intern,Cluj-Napoca,2024-06-25 00:00:00,40731,1
EMP00035,Employee_35,Logistics,Junior,Timisoara,2023-08-25 00:00:00,15728,1
EMP00036,Employee_36,Sales,Intern,Cluj-Napoca,2023-10-06 00:00:00,32278,1
EMP00037,Employee_37,Sales,Junior,Cluj-Napoca,2023-12-14 00:00:00,17774,1
EMP00038,Employee_38,HR,Senior,Cluj-Napoca,2024-09-18 00:00:00,29758,0
EMP00039,Employee_39,Operations,Mid-Level,Bucharest,2023-04-14 00:00:00,41361,1
EMP00040,Employee_40,Finance,Junior,Cluj-Napoca,2024-09-21 00:00:00,9277,1
EMP00041,Employee_41,Marketing,Manager,Bucharest,2024-05-31 00:00:00,15410,1
EMP00042,Employee_42,IT,Manager,Iasi,2023-09-05 00:00:00,22371,1
EMP00043,Employee_43,Sales,Junior,Timisoara,2023-12-30 00:00:00,31493,1
EMP00044,Employee_44,Customer Service,Junior,Bucharest,2023-11-17 00:00:00,24756,0
EMP00045,Employee_45,IT,Junior,Iasi,2024-09-24 00:00:00,26293,1
EMP00046,Employee_46,IT,Manager,Bucharest,2023-10-13 00:00:00,74719,1
EMP00047,Employee_47,HR,Manager,Bucharest,2023-05-29 00:00:00,14673,1
EMP00048,Employee_48,Finance,Junior,Timisoara,2023-03-25 00:00:00,47465,1
EMP00049,Employee_49,Sales,Intern,Brasov,2024-02-10 00:00:00,22584,1
EMP00050,Employee_50,IT,Intern,Brasov,2024-03-31 00:00:00,35410,1
EMP00051,Employee_51,Sales,Senior,Bucharest,2023-06-10 00:00:00,78001,1
EMP00052,Employee_52,Marketing,Mid-Level,Cluj-Napoca,2024-04-04 00:00:00,37962,1
EMP00053,Employee_53,HR,Intern,Iasi,2024-07-03 00:00:00,32411,1
EMP00054,Employee_54,Marketing,Manager,Cluj-Napoca,2024-05-14 00:00:00,59848,1
EMP00055,Employee_55,Sales,Intern,Cluj-Napoca,2024-05-23 00:00:00,47212,1
EMP00056,Employee_56,Logistics,Senior,Bucharest,2024-10-15 00:00:00,18039,1
EMP00057,Employee_57,Customer Service,Senior,Bucharest,2024-04-25 00:00:00,31172,1
EMP00058,Employee_58,Sales,Mid-Level,Bucharest,2024-10-24 00:00:00,11399,1
EMP00059,Employee_59,Finance,Intern,Bucharest,2023-04-24 00:00:00,20536,1
EMP00060,Employee_60,IT,Manager,Brasov,2024-07-31 00:00:00,31477,1
EMP00061,Employee_61,IT,Manager,Bucharest,2023-12-27 00:00:00,19909,1
EMP00062,Employee_62,Marketing,Junior,Brasov,2023-12-07 00:00:00,30844,1
EMP00063,Employee_63,Customer Service,Manager,Brasov,2024-03-24 00:00:00,26724,1
EMP00064,Employee_64,HR,Mid-Level,Bucharest,2023-06-29 00:00:00,35179,1
EMP00065,Employee_65,Logistics,Mid-Level,Timisoara,2024-12-02 00:00:00,21762,1
EMP00066,Employee_66,Operations,Manager,Iasi,2024-02-11 00:00:00,16813,1
EMP00067,Employee_67,Customer Service,Manager,Cluj-Napoca,2024-10-27 00:00:00,56335,1
EMP00068,Employee_68,IT,Junior,Brasov,2023-07-15 00:00:00,20997,1
EMP00069,Employee_69,Finance,Manager,Iasi,2024-04-10 00:00:00,37422,1
EMP00070,Employee_70,Customer Service,Junior,Timisoara,2023-11-07 00:00:00,55140,1
EMP00071,Employee_71,Marketing,Junior,Cluj-Napoca,2023-09-19 00:00:00,29183,1
EMP00072,Employee_72,Marketing,Manager,Cluj-Napoca,2024-02-23 00:00:00,17533,1
